0,,,1,,,2,,, 
-0.002534,-0.008641, ,-0.039279,0.00552, ,325.7195885,-247.177624, , 
-0.007259,-0.010232, ,-0.037503,0.006798, ,325.1966978,-248.6807888, , 
-0.01446,-0.011278, ,-0.034342,0.008349, ,324.6532739,-250.1766549, , 
-0.024437,-0.011616, ,-0.029139,0.010113, ,324.094897,-251.6670065, , 
-0.037717,-0.01126, ,-0.021512,0.011897, ,323.5346658,-253.1566603, , 
-0.055294,-0.010315, ,-0.011396,0.013402, ,322.985836,-254.6505497, , 
-0.0786,-0.008911, ,0.001134,0.014346, ,322.4544353,-256.150729, , 
-0.108816,-0.007158, ,0.016147,0.014591, ,321.9358709,-257.6553961, , 
-0.145011,-0.005142, ,0.034091,0.014144, ,321.4170966,-259.1599899, , 
-0.18139,-0.002932, ,0.055881,0.013096, ,320.8828928,-260.6591721, , 
-0.206546,-0.000594, ,0.0827,0.011558, ,320.3228983,-262.1489123, , 
-0.20925,0.001805, ,0.115229,0.009633, ,319.7361057,-263.6283045, , 
-0.187929,0.004192, ,0.15197,0.007416, ,319.1311272,-265.1003553, , 
-0.15203,0.006495, ,0.187068,0.004995, ,318.5225305,-266.5709124, , 
-0.113458,0.00864, ,0.210212,0.002457, ,317.9249871,-268.0459933, , 
-0.079486,0.010557, ,0.212094,-0.00011, ,317.3475939,-269.5290776, , 
-0.052224,0.012165, ,0.192332,-0.00262, ,316.7906132,-271.0199501, , 
-0.030998,0.013362, ,0.159802,-0.004995, ,316.245995,-272.5153835, , 
-0.014359,0.014021, ,0.1249,-0.00716, ,315.7014283,-274.0108344, , 
-0.00105,0.014015, ,0.093798,-0.009044, ,315.145995,-275.5022822, , 
0.009696,0.01329, ,0.068364,-0.010564, ,314.5747716,-276.9877549, , 
0.018202,0.011949, ,0.048263,-0.011621, ,313.9903708,-278.4680942, , 
0.024593,0.010268, ,0.032545,-0.012102, ,313.4009644,-279.9464473, , 
0.029121,0.008571, ,0.020357,-0.011906, ,312.8159312,-281.4265353, , 
0.032361,0.007078, ,0.011135,-0.011009, ,312.2412992,-282.9106926, , 
0.035078,0.005858, ,0.004553,-0.009538, ,311.677278,-284.3989157, , 
0.037917,0.004884, ,0.000357,-0.007765, ,311.1191962,-285.8893759, , 
0.04121,0.004097, ,-0.001814,-0.005999, ,310.5612146,-287.3798732, , 
0.044977,0.003444, ,-0.002516,-0.004447, ,310.0003408,-288.8692849, , 
0.049023,0.002891, ,-0.002397,-0.003185, ,309.437977,-290.3581348, , 
0.053054,0.002416, ,-0.002011,-0.002202, ,308.8779431,-291.8478621, , 
0.056758,0.002007, ,-0.001687,-0.001457, ,308.3224569,-293.3392913, , 
0.059845,0.001653, ,-0.001523,-0.000904, ,307.769118,-294.8315193, , 
0.062073,0.00134, ,-0.001483,-0.000505, ,307.2113969,-296.3221142, , 
